sinif,x1,y1,z1,x2,y2,z2,x3,y3,z3
kapali,0.6337679624557495,0.8174803256988525,-0.45554059743881226,0.4942004084587097,0.6755220293998718,-0.8459126353263855,0.44015058875083923,0.7957020401954651,-0.12670667469501495
kapali,0.6344407200813293,0.8202052712440491,-0.561455249786377,0.49421730637550354,0.6829894185066223,-0.9569467306137085,0.4409733712673187,0.7984530925750732,-0.19956353306770325
kapali,0.6346734166145325,0.8205744028091431,-0.5733632445335388,0.4935692250728607,0.6901335120201111,-0.9679829478263855,0.4407762587070465,0.8007476329803467,-0.20633390545845032
kapali,0.634686291217804,0.8208236694335938,-0.6035135388374329,0.4923980236053467,0.6937254667282104,-0.9926985502243042,0.44078192114830017,0.8009212017059326,-0.23652255535125732
kapali,0.634687066078186,0.8211566209793091,-0.6060264706611633,0.49176064133644104,0.6961403489112854,-0.9911416172981262,0.44047197699546814,0.8012053370475769,-0.23682205379009247
kapali,0.6346198320388794,0.8215421438217163,-0.5950249433517456,0.4907363951206207,0.696777880191803,-0.9844738841056824,0.4403354227542877,0.8012998700141907,-0.22654283046722412
kapali,0.6346808671951294,0.8222891092300415,-0.5794674754142761,0.4905979037284851,0.6980282068252563,-0.9681594967842102,0.440216064453125,0.8013021945953369,-0.21820437908172607
kapali,0.6346678137779236,0.8224048018455505,-0.5719536542892456,0.49031519889831543,0.6985681653022766,-0.972773551940918,0.4392487108707428,0.802069365978241,-0.21466772258281708
kapali,0.6344823241233826,0.8224141597747803,-0.5680306553840637,0.48937076330184937,0.6989904046058655,-0.9692882299423218,0.43871745467185974,0.8024742007255554,-0.2004065215587616
kapali,0.634456992149353,0.8229874968528748,-0.5442482233047485,0.4893783926963806,0.6995119452476501,-0.9425217509269714,0.4386024475097656,0.8027507066726685,-0.185382679104805
kapali,0.6345004439353943,0.8234182000160217,-0.5570433735847473,0.48938632011413574,0.7002385258674622,-0.9590989351272583,0.4388468861579895,0.8044977188110352,-0.19278350472450256
kapali,0.6352981328964233,0.8238523006439209,-0.5689367651939392,0.48943963646888733,0.7010573148727417,-0.96843421459198,0.43888336420059204,0.8059925436973572,-0.21623802185058594
kapali,0.6355102062225342,0.8249944448471069,-0.5753757357597351,0.4894704222679138,0.701497495174408,-0.9700347185134888,0.4395212233066559,0.8079777359962463,-0.22161324322223663
